Menu,Harga,HPP,Kategori,Img
Kopi Python (Arabica),25000,8000,Minuman,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?q=80&w=400&auto=format&fit=crop
Iced Latte.js,28000,9000,Minuman,https://images.unsplash.com/photo-1556679343-c7306c1976bc?q=80&w=400&auto=format&fit=crop
Blue Screen Soda,22000,5000,Minuman,https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?q=80&w=400&auto=format&fit=crop
Matcha Learning,30000,12000,Minuman,https://images.unsplash.com/photo-1515825838458-f2a94b20105a?q=80&w=400&auto=format&fit=crop
Nasi Goreng Full Stack,35000,15000,Makanan,https://images.unsplash.com/photo-1603133872878-684f1084261d?q=80&w=400&auto=format&fit=crop
RAM-en Special (Pedas),38000,18000,Makanan,https://images.unsplash.com/photo-1552611052-33e04de081de?q=80&w=400&auto=format&fit=crop
Burger Algorithm,45000,22000,Makanan,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?q=80&w=400&auto=format&fit=crop
Spaghetti Code,40000,18000,Makanan,https://images.unsplash.com/photo-1622973536968-3ead9e780960?q=80&w=400&auto=format&fit=crop
French Fries.zip,18000,6000,Snack,https://images.unsplash.com/photo-1630384060421-cb20d0e0649d?q=80&w=400&auto=format&fit=crop
Dimsum 404,20000,9000,Snack,https://images.unsplash.com/photo-1496116218417-1a781b1c423c?q=80&w=400&auto=format&fit=crop
